ax,ay
-1.1247723,2.0969129
-0.15247539,0.78473455
0.29692307,0.54358447
0.41905376,-0.16573049
0.06426581,-0.654634
-0.19919764,-0.35030517
-0.1815409,-0.12293927
-0.18447028,-0.031313986
-0.1472973,-0.02350895
-0.14602546,-0.004317004
-0.14089951,-0.012092864
-0.18223728,-0.009611072
-0.13324633,-0.01808938
-0.13317384,-0.017042264
-0.18366693,0.014619483
-0.12010352,-0.016223295
-0.12735978,-0.019400416
-0.16713339,0.0094769
-0.12507594,0.0009217015
-0.17573711,0.045037188
-0.10993311,-0.02352006
-0.12192118,-0.022745084
-0.15378086,0.038104735
-0.123860426,-0.015788652
-0.16061795,0.074438095
-0.1252562,-0.014774948
-0.15050738,0.06410235
-0.17993785,0.10629828
-0.13066542,-0.010883366
-0.15696323,0.08167252
-0.18490879,0.119534895
-0.20073098,0.12711295
-0.22467753,0.1420085
-0.26648903,0.1606487
-0.3659009,0.17754717
-0.6537191,0.15382835
-0.8556595,0.7670162
-0.2330397,1.3291782
-0.48658392,0.9948853
-0.33353344,1.0115911
-0.39413399,0.8548366
-0.33887675,0.8306985
-0.3449771,0.7501397
-0.34563482,0.68168557
-0.3453629,0.630286
-0.31383127,0.6491412
-0.30670017,0.6242062
-0.3534719,0.54807603
-0.3067775,0.588231
-0.28844333,0.57002425
-0.28425363,0.5194331
-0.28461787,0.4721795
-0.22063318,0.4358357
-0.28441313,0.33806702
-0.23153815,0.32356256
-0.2397185,0.23870775
-0.24173804,0.20484431
-0.24154082,0.18664545
-0.23592305,0.18266267
-0.1995837,0.09859541
-0.2171489,0.01417496
-0.2194994,-0.011752823
-0.21295975,-0.11730555
-0.21546517,-0.073800586
-0.22025186,-0.14715005
-0.22193854,-0.17478319
-0.21833482,-0.17951617
-0.20052974,-0.10613861
-0.24178118,-0.22404969
-0.21763138,-0.19597596
-0.21815008,-0.18822715
-0.22048575,-0.18528558
-0.21353532,-0.17475107
-0.20805761,-0.16829544
-0.20069183,-0.16289534
-0.19643758,-0.15754284
-0.18536277,-0.1527919
-0.2688287,-0.15222627
-0.10509272,-0.11907042
-0.24599485,-0.14069478
-0.18851265,-0.114463024
-0.17074879,-0.09930849
-0.24422954,-0.088001594
-0.13773586,-0.033906393
-0.22404814,-0.018992517
-0.20825745,0.023993967
-0.23030007,0.058541868
-0.21005511,0.09941864
-0.23670413,0.10450436
-0.20531045,0.11134691
-0.20376813,0.08534621
-0.20203276,0.04960017
-0.20179014,0.008887542
-0.18296096,-0.014294746
-0.17776707,-0.036554832
-0.19082719,-0.057058573
-0.20627455,-0.06588028
-0.22152306,-0.068222925
-0.23057309,-0.06255026
-0.23509644,-0.053371217
-0.2317057,-0.03976019
-0.23867549,-0.026518952
-0.23772179,-0.036811747
-0.22821489,-0.038591273
-0.24890004,-0.08808296
-0.27281007,-0.15936066
-0.26844174,-0.16237487
-0.29927775,-0.22081265
-0.33654305,-0.2528935
-0.30492637,-0.20726615
-0.28631523,-0.19779032
-0.27322376,-0.21525715
-0.27332813,-0.56163245
-0.19839214,-0.7636323
-0.20943037,-0.6708271
-0.2328171,-0.84813565
-0.41164538,-0.54143703
-0.5182156,-0.4922606
-0.69547915,-0.23468676
-0.5729143,0.22014497
-0.21326146,0.60385233
0.20449366,0.29435366
0.2502189,-0.30972022
-0.012963699,-0.42562163
-0.28928947,-0.39881626
-0.53243333,-0.1999498
-0.59638536,0.17595133
-0.30390275,0.6691223
0.21319535,0.1265939
0.22858018,-0.30129048
0.035304114,-0.37854856
-0.1779794,-0.36416423
-0.40357512,-0.2627638
-0.6615078,0.25599125
-0.3652747,0.7482361
0.13932107,0.36397982
0.28195927,-0.16270043
0.2881024,-0.52178437
0.10385394,-0.554979
-0.10621594,-0.39260402
-0.23531552,-0.2820164
-0.5042994,-0.13266505
-0.730491,0.3726898
-0.49861658,0.9745399
-0.06119371,0.8066102
0.27606854,0.15881091
0.3833153,-0.31256777
0.2799226,-0.7846556
0.13920176,-0.949023
